Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
AY941798,0.652154,0.0,0.925864,0.874187,0.0,51.5981,0.0741361,26.2983,1.46277e-07,2.03324e-05
Node7,10.0,0.780075,0.969273,0.764315,0.0103005,736.508,0.0204265,9.76719,0.000888268,0.122581
Node129,0.0941705,0.0,0.988363,0.0,0.00505984,1776.52,0.00657728,6.97073,0.00414269,0.567548
Node88,0.997941,0.0117571,0.948496,0.0416141,0.0,86.8649,0.0515039,6.39497,0.0057222,0.778219
Node33,0.15902,0.0,0.929891,0.87585,0.0,7.16729,0.0701094,5.61163,0.00892084,1.0
Node54,0.28458,0.0,0.957128,0.0,0.000512088,10.6051,0.0423596,4.9992,0.0126795,1.0
Node36,0.177131,0.0,0.965454,0.848126,0.0,8.65164,0.034546,4.84379,0.013873,1.0
Node85,10.0,0.0,0.968566,0.0,0.0116972,10000.0,0.0197364,4.57868,0.016186,1.0
AB232664,0.0981784,0.0127549,0.989313,0.0120983,1.85813e-06,1466.22,0.0106854,4.17539,0.0205076,1.0
AB107992,0.343721,0.144563,0.952702,0.144577,0.00282623,12.4121,0.0444722,3.75079,0.0263912,1.0
DQ005606,0.201998,0.170684,0.986938,0.170723,0.00203798,57.3428,0.0110242,2.42146,0.0598419,1.0
Node30,10.0,0.0,0.946097,0.0,0.0160504,10000.0,0.0378529,2.40153,0.0606084,1.0
AB154849,0.222922,0.039607,0.840851,0.938108,0.0906065,596.187,0.0685425,2.4008,0.0606367,1.0
DQ005594,0.131165,0.113256,0.960994,0.113252,0.0178383,10000.0,0.0211675,2.17382,0.0701888,1.0
AB158360,0.19167,0.0,0.965312,0.0,0.00122659,7.15589,0.0334614,1.95237,0.081166,1.0
Node31,0.118181,0.102743,0.946309,0.102495,0.0298921,63.2454,0.0237988,1.86016,0.0863033,1.0
L37527,0.13649,0.0,0.934354,0.698666,0.0,3.30409,0.065646,1.30521,0.126632,1.0
AF230713,0.0534059,0.0460701,0.990461,0.879254,0.0,180.806,0.00953941,1.24356,0.132393,1.0
Node3,0.343931,0.148884,0.879743,0.878056,0.0,3.33789,0.120257,1.23299,0.133413,1.0
AB103465,0.0834936,0.0733886,0.991519,0.8769,0.0,1466.42,0.00848054,1.22873,0.133827,1.0
AB177807,0.0701636,0.0414617,0.917877,0.0414286,0.0198059,148.271,0.0623171,1.21249,0.135419,1.0
AY936224,10.0,0.990048,0.0,0.221936,0.0,8142.48,1.0,1.09922,0.147219,1.0
Node64,0.201593,0.0,0.946721,0.75788,0.0,6.61747,0.0532793,1.02697,0.155436,1.0
Node90,0.248606,0.197202,0.991986,0.196208,4.43532e-05,92.7543,0.00796917,0.959318,0.163679,1.0
DQ662243,0.286559,0.0,0.828679,0.841412,0.0,2.54913,0.171321,0.901978,0.171126,1.0
Node11,0.223124,0.0171793,0.787119,0.854798,0.0,1.92349,0.212881,0.888821,0.172899,1.0
AF411848,0.216657,0.0,0.927618,0.0,0.00239175,5.42338,0.0699902,0.874638,0.174837,1.0
DQ662245,0.250176,0.0,0.898403,2.0e-07,0.0,3.04945,0.101597,0.748584,0.193462,1.0
Node16,0.189802,0.219322,0.988117,0.219159,0.000785322,1466.22,0.0110976,0.643493,0.211224,1.0
DQ231251,0.0488122,0.0401805,0.989344,0.877222,0.0,4.84652,0.0106562,0.602237,0.218863,1.0
DQ662246,0.301609,0.190516,0.935104,0.192324,0.0106891,3.51559,0.0542064,0.513912,0.236725,1.0
HM106984,10.0,1.0,0.923795,1.0,0.000999719,9936.18,0.0752053,0.506856,0.238252,1.0
FJ804103,0.322532,0.0,0.513011,0.726897,0.467284,6024.98,0.0197049,0.479725,0.244274,1.0
DQ005583,0.29138,0.0,0.839313,0.0,0.0096675,2.239,0.151019,0.440579,0.253422,1.0
Node78,0.195945,0.0243244,0.893283,0.85963,0.0,2.56551,0.106717,0.364559,0.272993,1.0
Node44,0.0602243,0.0,0.965247,0.0,0.027388,10.9706,0.00736468,0.248544,0.309051,1.0
Node13,10.0,0.85671,0.0,0.5145,0.0,7.63662,1.0,0.245401,0.310166,1.0
AB158354,0.116044,0.0769262,0.988316,0.0774578,0.000235373,1466.22,0.0114482,0.241813,0.31145,1.0
