Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node21,0.60519,1.0,0.858049,1.0,0.000377653,32.3407,0.141574,3.7706,0.0260805,1.0
HQ388352,0.347424,0.307732,0.957208,0.31009,0.0217431,281.135,0.0210491,3.0302,0.040864,1.0
Node54,0.147571,0.0,0.975974,0.980025,0.0,13.8437,0.024026,2.37706,0.0615647,1.0
Node23,0.0958343,0.0902655,0.975907,0.0904788,0.0103713,80.7925,0.013722,1.66603,0.0983958,1.0
X69107,0.26605,0.011598,0.953376,0.330891,0.0,7.18852,0.0466236,1.46836,0.112802,1.0
Node71,10.0,1.0,0.362299,0.998835,0.0,7229.71,0.637701,1.29857,0.127237,1.0
Node46,0.101496,0.06054,0.976554,0.0584295,0.0103524,17.5727,0.0130936,1.15068,0.141704,1.0
KF673857,0.0899822,0.0,0.985392,0.0,0.00240433,9.53097,0.0122034,0.730134,0.19642,1.0
KJ002729,0.140404,0.124424,0.966605,0.370126,0.0,12.9867,0.0333954,0.55686,0.227764,1.0
Node22,0.0911006,0.0360291,0.865386,0.038659,0.076185,207.571,0.0584289,0.492407,0.241428,1.0
Node52,0.0959222,0.011571,0.963734,2.0e-06,0.0,4.16841,0.0362662,0.283862,0.29709,1.0
KJ002734,0.0407474,0.0156033,0.976875,0.015708,0.00278324,3.8068,0.0203418,0.240799,0.311815,1.0
Node15,0.125236,0.0838166,0.95176,0.96,0.0,6.48972,0.0482402,0.228232,0.316419,1.0
Node39,0.191082,0.0,0.848243,0.96,0.0,2.94145,0.151757,0.0526674,0.409243,1.0
HM208534,10.0,1.0,0.869133,1.0,0.000368112,9987.17,0.130499,0.0503782,0.411203,1.0
Node28,10.0,1.0,0.863084,0.982998,0.0,4487.08,0.136916,0.0147382,0.451687,1.0
HM140846,2.11404,1.0,0.0922966,0.980021,0.0,2.32002,0.907703,-0.433809,0.5,1.0
Node8,0.243254,0.180679,0.983943,0.98032,0.0,5.82864,0.0160568,-0.555039,0.5,1.0
Node12,0.193608,0.173373,0.993284,0.174071,0.000112469,665.733,0.00660384,-0.14634,0.5,1.0
KC148540,0.0779825,0.0717169,0.980738,0.0711206,0.015761,32.4696,0.00350101,-0.462955,0.5,1.0
Node16,0.121413,0.0639098,0.957106,0.0645529,0.0252735,665.733,0.0176209,-0.124606,0.5,1.0
Node34,0.297769,0.201702,0.986677,0.204771,0.000541985,4.8647,0.0127806,-0.474286,0.5,1.0
JQ030893,0.0941221,0.00228812,0.773761,0.0335794,0.125858,1.39891,0.100381,-0.457618,0.5,1.0
Node40,0.274255,0.0854291,0.919189,0.0,0.0317162,2.70907,0.0490951,-0.534364,0.5,1.0
Node63,0.0,0.0,0.996125,0.0,0.000245384,69.4333,0.00362992,-0.41924,0.5,1.0
Node51,0.0396193,0.016712,0.984028,0.0176558,0.00455503,5.25889,0.0114169,-0.434514,0.5,1.0
Node49,0.0335005,0.00751584,0.954913,0.998835,0.0,2.34996,0.0450873,-0.0648937,0.5,1.0
Node3,0.233183,0.22117,0.995449,1.0,0.00113486,58.2115,0.00341603,-0.590211,0.5,1.0
DQ104328,0.42649,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ776636,0.308713,0.300708,1.0,0.7998,0.0,0.34388,0.0,0.0,1.0,1.0
AY927237,0.228491,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX255735,0.273067,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002736,0.098378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ031272,0.361967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002735,0.263018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
