Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node9,0.425774,0.225808,0.843975,0.231145,0.0185389,1790.43,0.137486,12.6727,0.000185521,0.0257874
Node43,0.0554931,0.0,0.970074,0.0,0.0141763,17.3962,0.0157497,6.09317,0.00678528,0.936369
Node23,0.338835,0.116499,0.954589,1.0,0.00357723,10000.0,0.0418338,5.74253,0.00827947,1.0
Node28,10.0,1.0,0.917931,1.0,0.0619592,9992.47,0.0201096,5.71647,0.00840326,1.0
GU126414,0.0835894,0.0,0.975079,0.0,0.0175628,30.459,0.00735781,4.18256,0.020421,1.0
AF181479,0.0527592,0.0,0.957709,0.260311,0.0243904,669.967,0.0179004,3.58617,0.0291312,1.0
DQ662240,0.314241,0.0,0.932977,0.0,0.000573294,8.74867,0.0664499,3.35437,0.0335134,1.0
Node45,0.465568,0.292325,0.976823,0.292327,0.0145154,163.617,0.00866159,3.34272,0.0337515,1.0
FJ804105,0.557529,0.501628,0.970223,0.501001,2.47342e-05,3438.24,0.0297527,3.23746,0.035986,1.0
Node93,0.505945,0.0,0.955068,0.0,0.0264291,10000.0,0.0185028,3.04974,0.0403751,1.0
Node20,0.190682,0.045697,0.900043,0.0440801,0.0,3.87336,0.0999574,2.79375,0.0473164,1.0
Node36,0.103974,0.0,0.937,0.825186,0.0,3.90658,0.063,2.66857,0.0511739,1.0
DQ662239,0.289099,0.245854,0.980834,0.245856,0.00940686,1466.22,0.00975888,2.36886,0.0618887,1.0
Node91,10.0,1.0,0.8536,1.0,0.000685938,1010.42,0.145714,2.2403,0.0672274,1.0
JN613151,0.140887,0.0870304,0.964291,0.151033,0.0,87.9242,0.0357087,1.40241,0.11816,1.0
Node17,10.0,0.0,0.810063,0.0,0.0217549,378.717,0.168182,1.06273,0.151297,1.0
Node19,0.143294,0.147666,0.985397,0.147446,0.00251415,549.979,0.0120885,1.06253,0.151319,1.0
Node35,0.352747,0.0,0.812217,0.0,0.014031,3.06371,0.173752,0.997979,0.1589,1.0
Node11,0.185558,0.140631,0.956251,0.142853,4.70751e-05,3334.84,0.0437019,0.982919,0.16074,1.0
Node51,10.0,0.0,0.923158,0.0,0.00191814,41.3586,0.0749235,0.595248,0.220198,1.0
AY739700,0.0640209,0.0439788,0.981662,0.0428847,1.3011e-05,352.779,0.0183249,0.594025,0.220433,1.0
AB154848,0.901674,0.795847,0.974105,2.0e-07,0.0,48.7277,0.025895,0.497546,0.24029,1.0
Node112,0.0516723,0.0226447,0.991364,0.0225415,7.94937e-05,327.635,0.00855698,0.467462,0.247079,1.0
Node39,0.565731,0.168251,0.869377,0.231892,0.0,6.37056,0.130623,0.442428,0.252976,1.0
Node137,10.0,0.984201,0.946403,1.0,0.0134555,134.909,0.0401414,0.216645,0.320804,1.0
AB158349,0.141744,0.0,0.941609,0.0,0.00220874,3.44127,0.0561822,-0.914056,0.5,1.0
AY337745,0.179049,0.0,0.833498,0.931908,0.0,1.35182,0.166502,-0.972414,0.5,1.0
Node12,0.0685861,0.0343261,0.960776,0.03415,0.00365728,4.22927,0.0355663,-0.81827,0.5,1.0
AY337752,0.0984517,0.0,0.889603,0.0,0.00918338,1.05975,0.101213,-1.1074,0.5,1.0
DQ662237,0.130718,0.155018,0.990711,0.153563,0.00246109,1466.23,0.00682773,-0.621145,0.5,1.0
HM106982,10.0,0.933433,0.0,0.846673,0.0,36.9505,1.0,-0.59937,0.5,1.0
AY196350,10.0,0.902269,0.0,0.873285,0.0,5113.64,1.0,-0.430255,0.5,1.0
AB857727,0.196544,0.101378,0.913451,0.83569,0.0,1.57768,0.086549,-1.10266,0.5,1.0
AY378149,0.0392737,0.025875,0.950744,0.0673196,0.0402812,4.13083,0.008975,-1.06003,0.5,1.0
Node129,10.0,1.0,0.682729,0.987025,0.0,1289.28,0.317271,-0.0908855,0.5,1.0
HM140840,10.0,1.0,0.64248,0.743842,0.0,644.354,0.35752,-0.600443,0.5,1.0
Node27,10.0,0.969177,0.0,0.761455,0.0,270.156,1.0,-0.927607,0.5,1.0
Node25,10.0,0.855822,0.0,0.736444,0.0,8.2685,1.0,-1.02935,0.5,1.0
AB158351,0.051611,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB158355,0.17824,0.11121,0.794167,0.176109,0.0333426,0.532634,0.17249,0.0,1.0,1.0
AB158358,0.105386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.40927,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB154845,0.124825,0.122517,1.0,0.461293,0.0,4.4582,0.0,0.0,1.0,1.0
AY436729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY936225,0.0574073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node14,0.0805281,0.0834343,0.833171,0.866089,0.0,0.0830534,0.166829,0.0,1.0,1.0
AB177808,0.052616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB177806,0.0767854,0.0,0.832705,0.567846,0.167295,6.52374,0.0,0.0,1.0,1.0
AY621154,0.104519,0.0,0.680131,0.366124,0.319869,3.17718,0.0,0.0,1.0,1.0
FJ804102,0.128301,0.0,0.793489,2.0e-07,0.0,0.78085,0.206511,0.0,1.0,1.0
AB201751,0.069436,0.0688546,1.0,0.567888,0.0,0.0674082,0.0,0.0,1.0,1.0
AB094964,0.129424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node30,0.0987149,0.0825729,1.0,0.397603,0.0,0.20327,0.0,0.0,1.0,1.0
DQ662238,0.0993356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB107993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
