Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
KF500107,0.6062,0.0,0.844688,0.0,0.0163222,5331.91,0.13899,58.0313,1.28786e-14,1.06892e-12
DQ333324,0.765476,0.156782,0.943125,0.153413,0.00580936,10000.0,0.0510656,45.937,6.10578e-12,5.00674e-10
AB050657,0.357935,0.202637,0.953308,0.207163,0.000825797,111.086,0.045866,22.6441,9.74794e-07,7.89583e-05
AF058697,0.095694,0.0277616,0.962105,0.0272423,0.0179023,704.535,0.0199927,7.67125,0.00280537,0.22443
AJ430695,0.211895,0.130665,0.888705,0.12901,0.0013615,12.8122,0.109934,5.79279,0.008046,0.635634
Node74,0.73116,0.578059,0.987361,0.578139,0.00512351,180.314,0.00751581,5.27222,0.0108342,0.845068
AY306190,0.103457,0.0791506,0.968428,0.9808,0.0,554.611,0.0315722,4.40628,0.0179035,1.0
EF521814,0.250157,0.154285,0.884781,0.167183,0.072425,789.572,0.0427943,3.62448,0.0284677,1.0
Node12,0.249356,0.0,0.976434,0.0,0.00686064,24.568,0.0167057,3.46999,0.0312458,1.0
Node56,0.198705,0.0,0.958753,0.0,0.00105198,6.20629,0.0401953,2.51562,0.0563616,1.0
Node76,0.0736479,0.0,0.969374,0.0,0.0155467,7.52133,0.0150793,2.17384,0.0701877,1.0
Node24,0.228958,0.199981,0.915197,0.200311,0.0595592,554.716,0.0252441,2.14935,0.071315,1.0
AB618670,0.257909,0.228705,0.981396,2.0e-07,0.0,832.917,0.0186039,1.26451,0.130399,1.0
Node46,0.258436,0.151176,0.959999,1.0,0.0288258,2680.99,0.0111751,1.26389,0.130458,1.0
AY337929,0.401822,0.0,0.837398,0.0,0.00799623,3.07351,0.154606,1.0129,0.157104,1.0
Node35,0.395932,0.0,0.776598,0.0,0.0211666,2.1576,0.202236,0.634062,0.212935,1.0
Node30,0.252064,0.0,0.773582,0.980023,0.0,1.69145,0.226418,0.598315,0.219611,1.0
Node26,0.203354,0.145478,0.991323,0.108489,0.0,21.3074,0.00867736,0.579523,0.22325,1.0
Node67,10.0,0.998835,0.0,0.998835,0.0,9366.06,1.0,0.561911,0.226746,1.0
KF500104,10.0,1.0,0.86686,0.999898,1.84064e-05,3963.93,0.133121,0.524389,0.234488,1.0
Node31,0.220502,0.205747,0.983516,0.206361,0.0105014,665.429,0.00598209,0.479706,0.244278,1.0
Node79,0.0186994,0.0189499,0.995973,0.398553,0.0,789.39,0.0040269,0.369885,0.271533,1.0
