Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
KJ002715,0.132885,0.0,0.966596,0.0,0.000231939,6.40119,0.0331722,4.06563,0.0218821,1.0
AJ132217,0.0923234,0.0711892,0.964746,0.0710863,4.33531e-05,10000.0,0.0352105,3.10806,0.0389528,1.0
Node20,0.145615,0.0499407,0.921976,0.0552537,0.0380327,7.10349,0.0399912,2.41799,0.0599745,1.0
Node8,0.0351854,0.0321855,0.984985,0.0243806,0.000722296,1466.17,0.0142922,1.61689,0.101763,1.0
AJ132215,0.161706,0.00565345,0.743389,0.663007,0.188127,324.871,0.0684836,1.32668,0.124698,1.0
Node53,10.0,1.0,0.432705,0.986337,0.0,931.301,0.567295,0.6318,0.213348,1.0
HM208534,10.0,1.0,0.699808,0.995848,0.0,2038.41,0.300192,0.627555,0.214127,1.0
KJ002729,0.0769403,0.0648269,0.973539,0.0673164,0.00433651,153.201,0.0221249,0.607806,0.217808,1.0
AY383559,0.0594145,0.0,0.978152,0.855777,0.0,2.65445,0.0218478,0.596595,0.21994,1.0
Node38,0.0246303,0.0,0.974737,0.0,0.000514225,1.89087,0.0247487,0.534263,0.23241,1.0
Node59,0.159078,0.12472,0.959041,0.87657,0.0,4.21413,0.0409591,0.465068,0.247633,1.0
Node47,10.0,0.0,0.921869,7.5e-08,0.0238633,10000.0,0.0542679,0.387556,0.266794,1.0
Node37,0.042606,0.0,0.984073,2.0e-07,0.0,4.2522,0.0159273,0.0868458,0.384113,1.0
FJ668596,0.147047,0.0700927,0.905773,0.209283,0.021524,1.72768,0.0727033,0.0342367,0.426602,1.0
AY739701,0.711373,0.210492,0.946995,4.55146e-05,0.0,4.34611,0.0530053,0.0289637,0.432431,1.0
Node61,0.432502,0.172631,0.955973,0.825848,0.0,5.03704,0.0440269,0.0232153,0.439449,1.0
X80902,0.0420595,0.0429559,1.0,0.080241,0.0,7.47726,0.0,0.0,1.0,1.0
U76726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB029463,0.0825119,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node4,0.01226,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB029470,0.0360775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
U42400,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KC347012,0.232016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node10,0.0581164,0.0277903,0.941905,0.00714906,0.0010273,0.935017,0.057068,0.0,1.0,1.0
KC257408,0.0442653,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GQ496631,0.0567006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GQ496658,0.0848059,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
NM001112222,0.107119,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node25,0.0392816,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ750939,0.0274925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
NM001302881,0.0394446,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY541067,0.0216074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node32,0.512914,0.533798,0.507737,0.573129,0.492263,0.934495,0.0,0.0,1.0,1.0
Node30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node24,0.353332,0.347198,1.0,0.345961,0.0,1.33407,0.0,0.0,1.0,1.0
Node22,0.0693938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node18,0.0487793,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB694896,0.0438719,0.0,0.924644,0.762363,0.0753565,0.970393,0.0,0.0,1.0,1.0
EU327784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF517293,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node41,0.170297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU081900,0.181737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF517294,10.0,0.000102298,0.893913,0.893913,1.07058e-05,8.94928,0.106076,0.0,1.0,1.0
Node44,0.0934005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node40,0.0265477,0.0,0.960016,1.0,0.0399843,8.7674,0.0,0.0,1.0,1.0
HM208533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GQ265900,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613148,0.377236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node49,0.98391,0.875923,0.0,0.992066,0.0,0.998932,1.0,0.0,1.0,1.0
KJ002728,0.0103391,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140845,0.0860477,0.0887153,1.0,0.0811314,0.0,0.632685,0.0,0.0,1.0,1.0
Node56,0.0293635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node48,0.0586031,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KU058679,0.0648142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002730,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140843,0.090057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node63,0.0170215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node35,0.0373332,0.0146731,0.912668,0.232721,0.0873321,8.6702,0.0,0.0,1.0,1.0
Node17,0.0295448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.0982831,0.0104353,0.82351,0.528676,0.0250227,0.941757,0.151468,0.0,1.0,1.0
Node13,0.0603708,0.0423003,0.496132,0.0397376,0.503868,2.74749,0.0,0.0,1.0,1.0
Node7,0.116186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.100476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
