Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
AY500376,0.643637,0.299574,0.907148,0.29953,0.0377234,10000.0,0.055129,38.3117,3.01505e-10,2.08038e-08
AJ132209,0.111816,0.0812635,0.950001,0.853114,0.0,1084.22,0.0499989,2.05341,0.0759331,1.0
GU123627,0.0658187,0.0,0.983156,2.0e-07,1.46541e-07,21.33,0.0168437,2.03361,0.0769273,1.0
NM001111851,0.410934,0.30712,0.736904,0.43921,0.212146,3964.13,0.0509498,1.27662,0.129264,1.0
Node3,0.0833228,0.0587627,0.963989,0.0588901,0.0199275,21.8692,0.016084,1.09168,0.148049,1.0
Node7,0.146059,0.068525,0.879052,0.0,0.001855,4.206,0.119093,1.01532,0.156816,1.0
JX974431,0.0824477,0.0614579,0.934758,0.061458,0.0468675,5.37139,0.0183743,0.899042,0.171519,1.0
FJ750942,0.253208,0.200097,0.974671,0.200491,0.00024195,11.0341,0.0250875,0.738761,0.195029,1.0
Node36,0.0602744,0.0,0.979557,0.0,0.00203304,7.4989,0.0184096,0.607358,0.217892,1.0
JN613149,10.0,1.0,0.772494,0.939099,0.0,1298.29,0.227506,0.567407,0.225646,1.0
Node9,0.0489921,0.0,0.983894,0.0,0.00389006,6.12505,0.012216,0.321195,0.285445,1.0
KJ002745,0.215772,0.0,0.771028,0.932693,0.0,1.24334,0.228972,0.163126,0.343147,1.0
AY621155,0.49247,0.295928,0.966055,0.277111,0.014695,4.73116,0.0192502,0.0336376,0.42724,1.0
AY739699,0.0587356,0.00970826,0.959199,0.826083,0.0,1.79006,0.0408009,0.00412504,0.474395,1.0
AF492455,0.00560847,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY114304,0.031306,0.0291564,0.690431,0.0293184,0.309569,4.77017,0.0,0.0,1.0,1.0
X79280,0.319947,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
L37528,0.173915,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node12,0.0916143,0.0884082,1.0,0.0797956,0.0,7.29129,0.0,0.0,1.0,1.0
Node10,0.259058,0.0660537,0.639453,0.44497,0.0,0.626071,0.360547,0.0,1.0,1.0
AY739698,0.126676,0.118902,1.0,0.118675,0.0,2.39931,0.0,0.0,1.0,1.0
Node16,0.0803277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF914210,0.158274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY555579,0.114388,0.0101602,0.716807,0.411659,0.283193,0.469511,0.0,0.0,1.0,1.0
EF421828,0.0434684,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB125347,0.044368,0.0443232,1.0,0.0455548,0.0,7.23925,0.0,0.0,1.0,1.0
AF099937,0.0943844,0.0,0.687218,0.316314,0.312782,2.43889,0.0,0.0,1.0,1.0
EU429307,0.0894379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node30,0.0610926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node28,0.0856448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node24,0.0207901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF914209,0.0593431,0.0593343,1.0,0.0560798,0.0,3.05272,0.0,0.0,1.0,1.0
AF234617,0.0798757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017702,0.0931716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX050151,10.0,9.63842e-05,0.876011,0.873995,1.19506e-05,7.34725,0.123977,0.0,1.0,1.0
GU123626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node44,0.127306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819939,0.163027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node43,0.151081,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node39,0.0347233,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node37,0.238644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF914208,0.0177726,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
