Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node9,0.086326,0.0,0.956805,0.0,0.0307957,46.3402,0.0123989,9.17543,0.00122643,0.0159436
Node4,0.271813,0.0,0.886751,0.953046,0.0,2.96958,0.113249,1.58543,0.10399,1.0
KJ819938,8.83586,1.0,0.953973,0.843492,0.0,14.0163,0.0460265,0.0149199,0.451391,1.0
KJ002748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613150,0.181511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.753377,0.651181,0.71281,0.664013,0.28719,2.00636,0.0,0.0,1.0,1.0
JN983500,0.101443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node2,0.689182,0.554909,0.869528,0.66552,0.130472,1.10082,0.0,0.0,1.0,1.0
DQ017703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF535599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node1,0.054123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119841,0.103477,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205497,0.160223,0.163602,0.0,0.916826,0.0,0.162557,1.0,0.0,1.0,1.0
