Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
JX255735,0.372654,0.0,0.897949,0.0,0.00576995,6.00183,0.0962812,1.54156,0.107193,1.0
Node7,0.111289,0.0881667,0.948751,0.0878417,0.023293,10000.0,0.0279563,1.16168,0.140559,1.0
KC148540,0.108539,0.102922,0.992479,0.0970183,0.0,17.6759,0.00752109,0.892058,0.17246,1.0
Node8,0.233899,0.191652,0.991356,0.221317,0.0,3964.13,0.00864372,0.69861,0.201626,1.0
AF198175,0.128641,0.0,0.89621,0.99705,0.0,1.3498,0.10379,0.0748374,0.39221,1.0
JQ776636,10.0,1.0,0.855198,1.0,0.000944056,24.8219,0.143858,0.0121853,0.456051,1.0
DQ104327,0.139013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002737,0.0978622,0.0824593,0.971839,0.696192,0.0,0.789395,0.028161,0.0,1.0,1.0
JQ031272,0.251455,0.253492,0.83034,0.617428,0.0,0.255062,0.16966,0.0,1.0,1.0
KJ002735,0.290743,0.229529,0.848168,0.696483,0.151832,2.68762,0.0,0.0,1.0,1.0
DQ104328,0.337019,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node12,0.384676,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002736,0.0995163,0.0980729,0.711622,0.917005,0.0,0.104606,0.288378,0.0,1.0,1.0
HM140846,1.10275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node17,0.182337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,0.106053,0.109244,1.0,0.104107,0.0,12.5895,0.0,0.0,1.0,1.0
Node5,0.181122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
