Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
GU126414,0.113115,0.0,0.957262,0.0,0.0290777,80.1577,0.0136604,6.33829,0.00590792,0.573069
Node73,0.184664,0.123182,0.970722,0.130799,0.0181612,10000.0,0.0111172,4.89269,0.0134853,1.0
EU444038,0.0463277,0.0,0.993646,0.0,0.0010523,19.5347,0.00530169,4.27847,0.019299,1.0
Node10,0.0776458,0.0,0.989493,0.0,0.00374845,1466.22,0.00675867,4.20311,0.0201749,1.0
Node32,0.15138,0.0944835,0.89413,0.0955253,0.0703267,368.372,0.0355429,2.77016,0.0480182,1.0
Node34,0.150677,0.1228,0.96432,0.121609,0.0128631,1790.73,0.0228166,2.47503,0.0578335,1.0
Node37,10.0,1.0,0.778577,0.999259,0.000180296,9999.46,0.221242,1.07192,0.150256,1.0
Node95,0.0617561,0.045737,0.992927,0.0469527,0.000207894,697.532,0.00686472,0.577947,0.223559,1.0
HM106982,10.0,1.0,0.714969,0.969646,0.0,620.275,0.285031,0.541997,0.230803,1.0
HM106984,10.0,1.0,0.775334,1.0,3.10065e-05,578.716,0.224635,0.537455,0.231745,1.0
HM140840,10.0,1.0,0.743986,0.880228,9.66861e-07,7593.72,0.256013,0.530263,0.233248,1.0
AY196350,10.0,0.77281,0.0,0.16667,0.0,8.89,1.0,0.510936,0.237367,1.0
Node57,0.0437369,0.0240055,0.992384,1.0,0.000202122,1466.22,0.00741353,0.307404,0.289639,1.0
AY378149,0.0353965,0.0157728,0.985673,0.000120609,0.0,3.85954,0.0143267,0.133152,0.357593,1.0
EU444020,0.0895122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444040,0.0243606,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804114,0.0214438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444035,0.0166263,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB537504,0.0335556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB232664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444052,0.0485835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY378147,0.111295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GU132995,0.237337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY378150,0.0335171,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444023,0.0508778,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM208535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ326260,0.318212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613151,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM208536,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM106983,0.480593,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ326261,0.104819,0.105914,0.936326,0.102023,0.0,0.106835,0.0636739,0.0,1.0,1.0
Node35,0.158049,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002740,0.0335807,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804097,0.219347,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node43,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node41,0.249655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056327,0.168034,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119838,0.0915667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY378148,1.05534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804098,0.0405824,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002739,0.081644,0.0140514,0.8992,0.968107,0.0,0.871262,0.1008,0.0,1.0,1.0
Node59,0.255501,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node55,0.117003,0.0,0.707126,0.497941,0.292874,8.07116,0.0,0.0,1.0,1.0
Node53,0.0524623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node49,0.0527433,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444022,0.200407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444050,0.0859616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node46,0.136926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node40,0.240938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
