Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
KJ002729,0.132879,0.113105,0.915492,0.113216,0.0489735,15.3774,0.0355346,2.54442,0.0553423,0.830134
Node5,0.133027,0.130262,0.970625,0.921342,0.0,326.248,0.0293749,1.93073,0.0823392,1.0
HM208534,10.0,1.0,0.558886,0.991766,0.0,570.704,0.441114,0.648925,0.210249,1.0
Node13,10.0,1.0,0.723957,0.997119,0.0,1667.62,0.276043,0.635098,0.212746,1.0
KJ002730,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140843,0.0263745,0.0206673,0.782638,0.0413033,0.217362,3.22454,0.0,0.0,1.0,1.0
KJ002728,0.0101655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140845,0.0786705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.0494903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613148,0.381968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GQ265900,10.0,9.45697e-05,0.929832,0.929832,6.67909e-06,3.53716,0.0701609,0.0,1.0,1.0
HM208533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.0463779,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.059393,0.0512575,0.933121,0.881317,0.0,0.0743392,0.0668788,0.0,1.0,1.0
