Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node31,10.0,1.0,0.699032,1.0,0.0112322,10000.0,0.289736,18.9437,6.73174e-06,0.000854931
Node70,0.116541,0.0297904,0.965198,0.870284,0.0,1791.48,0.0348019,9.63586,0.000954072,0.120213
Node18,0.114112,0.0279386,0.959831,0.0280898,0.0319106,93.9196,0.00825847,7.25517,0.00353487,0.441858
Node74,0.488897,0.0,0.611115,1.0,0.100284,11.5492,0.2886,6.81837,0.00451123,0.559393
Node73,0.555996,0.225605,0.758294,0.224595,0.0341635,10000.0,0.207542,6.36089,0.00583316,0.717478
Node56,1.28527,1.0,0.967792,1.0,0.00412059,235.592,0.0280877,5.95368,0.0073433,0.895882
Node99,10.0,0.0,0.96902,0.0,0.0181428,1813.62,0.0128369,5.65463,0.00870468,1.0
Node105,0.206221,0.217231,0.988403,0.139403,1.55975e-07,1993.84,0.0115965,5.15851,0.0115663,1.0
GU126414,0.0897302,0.0,0.956141,0.0,0.0364505,31.068,0.00740868,4.85192,0.0138077,1.0
Node75,0.345822,0.541392,0.967792,1.31081e-14,0.00944872,3333.43,0.0227596,4.01527,0.022545,1.0
Node33,0.379487,0.153491,0.87619,0.866849,0.0,11.2448,0.12381,4.00132,0.0227324,1.0
HQ388352,0.448984,0.670248,0.970016,0.675798,0.010181,34.4884,0.019803,2.96263,0.0426046,1.0
JN613151,0.156339,0.130119,0.975843,0.130104,0.00186744,287.81,0.0222896,2.35797,0.0623222,1.0
Node61,0.108931,0.0647433,0.981511,0.0650843,0.000590094,19.2298,0.017899,2.34939,0.062666,1.0
Node48,0.299873,0.0,0.972484,0.0,0.00793747,62.5064,0.0195785,2.31158,0.0642066,1.0
JX255735,0.367691,0.0,0.891349,0.0,0.0215267,7.21913,0.0871241,2.27668,0.0656665,1.0
Node34,0.0962642,0.0736876,0.91408,0.0738904,0.0522895,10000.0,0.0336301,1.77405,0.091441,1.0
Node46,10.0,1.0,0.957884,1.0,0.0268201,265.633,0.0152962,1.73787,0.0937043,1.0
Node68,0.0420315,0.0175686,0.973999,0.0172942,0.0139861,45.0438,0.0120151,1.61257,0.102066,1.0
Node25,0.273229,0.0,0.882183,0.0,0.00275925,2.90316,0.115058,1.50495,0.109956,1.0
KC148540,0.122077,0.112134,0.991897,0.112114,0.000587123,59.989,0.00751584,1.08672,0.148599,1.0
Node106,0.065988,0.0490156,0.992242,0.0489955,0.000747188,552.728,0.00701049,0.802023,0.185245,1.0
HM208534,10.0,1.0,0.608494,0.939476,0.0,2418.55,0.391506,0.580666,0.223026,1.0
HM106984,10.0,1.0,0.847942,0.856934,0.0,717.179,0.152058,0.490138,0.241933,1.0
Node66,0.0415588,0.016344,0.962886,0.87415,0.0,2.33277,0.0371137,0.403387,0.262673,1.0
AY196350,3.75737,0.860996,0.0,0.863248,0.0,4.20591,1.0,0.267393,0.302543,1.0
HM140847,0.126468,0.0625573,0.9624,0.0621081,0.0251278,5.56079,0.0124726,0.266973,0.302685,1.0
Node16,0.168545,0.255722,0.937862,0.269639,0.0,8.59984,0.0621383,0.20136,0.326813,1.0
Node39,0.109874,0.0736732,0.977576,0.0655066,0.0,275.354,0.0224236,0.0886855,0.382927,1.0
AF198175,0.130824,0.0,0.898886,0.940953,0.0,1.41705,0.101114,0.0480545,0.413242,1.0
Node32,0.189021,0.167407,0.691865,1.0,0.263167,3333.11,0.0449681,0.0247156,0.437539,1.0
KJ002737,0.102168,0.109446,0.995403,0.912857,0.0,2.19639,0.00459702,-0.0424071,0.5,1.0
Node47,0.0800865,0.000510157,0.755598,0.310643,0.217149,1.77228,0.0272538,-0.00123196,0.5,1.0
JQ030893,0.0915516,0.0,0.877759,0.754746,0.0,1.06845,0.122241,-0.0439366,0.5,1.0
Node76,0.279579,1.0,0.532527,0.757123,0.0,5.47933,0.467473,-0.0267832,0.5,1.0
AY378148,0.526901,0.241835,0.740823,0.839395,0.0,1.47623,0.259177,-0.0626608,0.5,1.0
JN613149,0.683386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX050151,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002746,0.0176462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819939,0.181959,0.182306,2.0e-07,0.862047,0.0,0.185541,1.0,0.0,1.0,1.0
Node4,0.251402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF234617,0.0776762,0.0781602,0.375989,0.82729,0.0,0.0785884,0.624011,0.0,1.0,1.0
DQ017702,0.0788832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205496,0.103085,0.0608786,0.937195,0.91004,0.0628053,0.913748,0.0,0.0,1.0,1.0
DQ119840,0.0291832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node12,0.214834,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF535599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
