Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node23,0.149358,0.0781319,0.956811,0.306457,0.0322798,797.367,0.0109094,5.3961,0.0100909,0.353181
EU444038,0.079361,0.0,0.988616,0.0,6.32102e-05,14.9665,0.0113205,3.68794,0.0274036,0.931722
AB232664,0.0776576,0.00499785,0.96109,0.00254208,0.0298396,10000.0,0.0090702,3.42403,0.032127,1.0
HM106984,10.0,1.0,0.569042,0.916509,5.44731e-05,2434.72,0.430903,0.565991,0.225928,1.0
Node1,0.0638495,0.0466088,0.965354,0.056358,0.0277107,494.196,0.00693577,0.402184,0.262982,1.0
HQ164433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.105528,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804100,0.0450547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,0.0206773,0.0166659,0.838215,0.0432198,0.161785,11.0131,0.0,0.0,1.0,1.0
Node9,0.0222243,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056326,0.0400642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KM975642,0.0703982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY678299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node17,0.0622092,0.0601614,0.86799,0.0778451,0.13201,3.8828,0.0,0.0,1.0,1.0
EU444024,0.0096539,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node16,0.0,0.0,1.0,0.933372,0.0,14.6844,0.0,0.0,1.0,1.0
EU444053,0.0571742,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804114,0.0224307,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444040,0.0250151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444020,0.0964142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node26,0.104708,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB537504,0.034558,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node30,0.230122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444035,0.0178542,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node29,0.0431202,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN565030,0.352663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
